# Discrete 10-bin spectrum
E_low_eV,E_high_eV,Flux,Flux_unc
2.530000e-02,1.962960e-01,4.408730e+11,2.810782e+10
1.962960e-01,1.523009e+00,2.093419e+13,5.675992e+11
1.523009e+00,1.181662e+01,0.000000e+00,0.000000e+00
1.181662e+01,9.168205e+01,0.000000e+00,0.000000e+00
9.168205e+01,7.113368e+02,0.000000e+00,0.000000e+00
7.113368e+02,5.519074e+03,0.000000e+00,0.000000e+00
5.519074e+03,4.282103e+04,0.000000e+00,0.000000e+00
4.282103e+04,3.322371e+05,9.116378e+11,1.543965e+10
3.322371e+05,2.577740e+06,6.746592e+12,3.073896e+11
2.577740e+06,2.000000e+07,2.240412e+13,1.167200e+12

# GLS adjusted spectrum
E_low_eV,E_high_eV,Flux,Flux_unc
2.530000e-02,7.047190e-02,0.000000e+00,8.992214e+12
7.047190e-02,1.962960e-01,0.000000e+00,1.167803e+13
1.962960e-01,5.467729e-01,1.224719e+13,1.285721e+13
5.467729e-01,1.523009e+00,2.499880e+13,1.172530e+13
1.523009e+00,4.242266e+00,2.715142e+13,1.167601e+13
4.242266e+00,1.181662e+01,1.988490e+13,1.326986e+13
1.181662e+01,3.291462e+01,1.208320e+13,1.405501e+13
3.291462e+01,9.168205e+01,8.304877e+12,1.418114e+13
9.168205e+01,2.553758e+02,7.278063e+12,1.418877e+13
2.553758e+02,7.113368e+02,7.111908e+12,1.418895e+13
7.113368e+02,1.981393e+03,7.095511e+12,1.418895e+13
1.981393e+03,5.519074e+03,7.094466e+12,1.418895e+13
5.519074e+03,1.537311e+04,7.083597e+12,1.418895e+13
1.537311e+04,4.282103e+04,7.480924e+12,1.416966e+13
4.282103e+04,1.192759e+05,4.766682e+13,8.490970e+12
1.192759e+05,3.322371e+05,0.000000e+00,5.691400e+12
3.322371e+05,9.254300e+05,2.639284e+13,5.117393e+12
9.254300e+05,2.577740e+06,0.000000e+00,3.718846e+12
2.577740e+06,7.180167e+06,3.243738e+13,6.018810e+12
7.180167e+06,2.000000e+07,3.783658e+13,1.301543e+13
